DnB Export Restriction SFDC,DnB Export Restriction - All,Add To New Account Master,Model Tag,Insights Tag,Internal Enrichment Tag,External Enchrichment Tag,Segmentation Tag,Segment Bucketing,Internal Name,Display Name,Description,Data Type,Availability,Possible Values Code Table,Category,Statistical Type,DisplayDiscretizationStrategy,FundamentalType
N,N,Y,N,N,N,Y,N,N,TRADESTYLE_NAME,Tradestyle Name,"A trading style name used by the business. It is an additional name used by the company. Also referred to as """"Doing Business As"""" (DBA) and """"Also Known As"""" (AKA). Available globally. Blank-filled when not available.",Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,Y,N,REGISTERED_ADDRESS_INDICATOR,Registered Address Indicator,"Indicates whether the physical address is also the Registered Address.  This is common on non-US records where address details are registered with local and/or public registries.  In some cases the registered address can be the office of the solicitor registering the business name.Available on non-US records only. """"Y - Available address is registered.N - Available address is not registered.""""",Alpha,High population. Available on non-US records only.,Y - Available address is registered.N - Available address is not registered.,FIRMOGRAPHICS,NOMINAL,,BOOLEAN
N,N,Y,N,N,N,Y,N,N,STREET_ADDRESS,Street Address,"The first street address line where a business is physically located, generally, in the local language. Available globally. Blank-filled when not available.",Alpha-Numeric,High population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,N,N,STREET_ADDRESS_2,Street Address 2,"The second street address line where a business is physically located, generally, in the local language. Available on non-US records only. Blank-filled when not available.",Alpha-Numeric,Low populationAvailable on non-US records only.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,CITY_NAME,City,"The name of the city where the business is physically located, generally, in the local language. Available globally. Blank-filled when not available.",Alpha,High population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,Y,Y,N,Y,Y,N,STATE_PROVINCE_NAME,State,"The name of the state/province where the business is physically located, generally, in the local language. Available globally. Blank-filled when not available..",Alpha,Majority population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,COUNTRY_NAME,Country,The name of the country where the business is located. In English. Available globally,Alpha,High population.Available globally,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,DnB_CITY_CODE,City Code,"Geographical code which identifies the city where the business is physically located. For US records, the code is unique within COUNTY. For non-US records, the code is unique within COUNTRY. Geographical codes provide one unique code value for various languages and/or spellings of the geographical data. Blank-filled when not available.",Alpha-Numeric,Majority population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,DnB_COUNTY_CODE,County Code,Geographical code which identifies the county where the business is physically located. Code is unique within state/province. Available globally. Zero-filled when not available.,Alpha-Numeric,Moderate population.Available globally.Zero-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,DnB_STATE_PROVINCE_CODE,State/Province Code,Geographical code which identifies the state/province where the business is physically located. Available globally. Zero-filled when not available.,Alpha-Numeric,Majority population.Available globally.Zero-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,STATE_PROVINCE_ABBR,State/Province Abbreviation,The abbreviation of the state/province where the business is physically located. Available globally. Blank-filled when not available.,Alpha,Moderate population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,DnB_COUNTRY_CODE,Country Code,Geographical code which identifies the country where the business is physically located. Available globally. Zero-filled when not available.,Numeric,Moderate population.Available globally.Zero-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,N,N,POSTAL_CODE,Postal Code,The postal code where the business is physically located. Available globally. Blank-filled when not available.,Alpha-Numeric,High population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,DnB_CONTINENT_CODE,Continent Code,Geographical code which identifies the region where the business is physically located. Available globally. 1 = Africa 2 = Australia/Asia 3 = Europe 4 = Middle East 5 = South & Central America 6 = North America,Numeric,High population.Available globally.,1 = Africa     2 = Australia/Asia      3 = Europe4 = Middle East     5 = South & Central America6 = North America,FIRMOGRAPHICS,NOMINAL,,ENUM
Y,N,Y,N,N,Y,N,N,N,MAILING_ADDRESS,Mailing Address,The address line where a business has its mail delivered.  Generally in local language.Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,MAILING_CITY_NAME,Mailing City Name,The city name used where the business has its mail delivered.  Generally in local language.Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,MAILING_COUNTY_NAME,Mailing County Name,The full name of the county where the business has its mail delivered. Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,MAILING_STATE_PROVINCE_NAME,Mailing State/Province Name,The full name of the state/province where the business has its mail delivered.  Available globally.Blank-filled when not available,Alpha,Low populationAvailable globally.Blank-filled when not available,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,MAILING_COUNTRY_NAME,Mailing Country Name,The name of the country where the business has its mail delivered.  In English.Available globally.Blank-filled when not available,Alpha,Low populationAvailable globally.Blank-filled when not available,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,DnB_MAILING_CITY_CODE,Mailing City Code,"Geographical code which identifies the city where the business has its mail delivered.  For US records, the code is unique within COUNTY, for non-US records, the code is unique within COUNTRY.  Geographical codes provide one unique code value for various languages and/or spellings of the geographical data. Available globally.Blank-filled when not available",Alpha-Numeric,Low populationAvailable globally.Blank-filled when not available,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,DnB_MAILING_COUNTY_CODE,Mailing County Code,Geographical code which identifies the county where the business has its mail delivered.  Unique within state/province. Available globally.,Alpha-Numeric,Low population.Available globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,DnB_MAILING_STATE_PROVINCE_CODE,Mailing State/Province Code,Geographical code which identifies the state/province where the business has its mail delivered.Available globally.,Numeric,Low populationAvailable globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,MAILING_STATE_PROVINCE_ABBR,Mailing State/Province Abbreviation,The abbreviation for the state/province where the business has its mail delivered. Available globally.Blank-filled when not available,Alpha,Low populationAvailable globally.Blank-filled when not available,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,DnB_MAILING_COUNTRY_CODE,Mailing Country Code,Geographical code which identifies the country where the business has its mail delivered. Available globally.,Alpha-Numeric,Low population.Available globally.,All possible values found on:Country Code Table.,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,MAILING_POSTAL_CODE,Mailing Postal Code,The postal code where the business has its mail delivered.,Alpha-Numeric,Low populationAvailable globally.Blank-filled when not available,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,DnB_MAILING_CONTINENT_CODE,Mailing Continent Code,"Geographical code which identifies the region where the business has its mail delivered.Available globally.Blank-filled when not available""""1 = Africa     2 = Australia/Asia      3 = Europe4 = Middle East     5 = South & Central America6 = North America""""",Alpha-Numeric,Low population.Available globally.,1 = Africa     2 = Australia/Asia      3 = Europe4 = Middle East     5 = South & Central America6 = North America,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,NATIONAL_IDENTIFICATION_NUMBER,National Identification Number,"The business identification number used in some countries for business registration and tax collection. Examples include CRO numbers in the U.K. and the French Siren numbers. Available in certain countries, not including US.Blank-filled when not available.",Alpha-Numeric,"Majority population.  Available in certain countries, not including US.Blank-filled when not available.",,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,NATIONAL_IDENTIFICATION_TYPE_CODE,National Identification Type Code,"A code value that describes the type of National ID number provided.  For example, 12 = CRO, 14 = Siren.  Available in certain countries, not including US.Blank-filled when not available.",Alpha-Numeric,"Majority population.  Available in certain countries, not including US.Blank-filled when not available.",All possible values found on:National ID Type Table.,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,COUNTRY_ACCESS_CODE,Country Access Code,The international dialing code required to connect to the telephone or facsimile number when dialing internationally. Available globally.,Alpha-Numeric,Moderate population.  Available globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,N,N,TELEPHONE_NUMBER,Site Telephone Number,"The primary voice telephone number for the business with no formatting or punctuation. This string contains all telecommunication number components (area code, exchange, number). Available globally. Blank-filled when not available.",Alpha-Numeric,Moderate population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,CABLE_TELEX_NUMBER,Cable Telex Number,The primary wire communication channel for sending a message.No longer in use in most countries.Blank-filled when not available.,Alpha-Numeric,Low population.No longer in use in most countries.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,FACSIMILE_NUMBER,Facsimile Number,"The primary facsimile number for the business with no formatting or punctuation.  This string contains all telecommunication number components (area code, exchange, number).Available globally.Blank-filled when not available.",Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,Y,Y,N,N,N,Y,N,N,CHIEF_EXECUTIVE_OFFICER_NAME,CEO Name,The full name of the individual who has the highest ranking authority of the business at this location.Available globally.Blank-filled when not available.,Alpha,Majority population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,Y,Y,N,N,N,Y,N,N,CHIEF_EXECUTIVE_OFFICER_TITLE,CEO Title,The title of the individual with the highest ranking authority at this location.  May be abbreviated.  In English.Available globally.Blank-filled when not available.,Alpha,Moderate population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,LINE_OF_BUSINESS,Line of Business,A narrative description of the operations or activities of the business. Relates to the primary four-digit 1987 US SIC. In English. Available globally.,Alpha,High population.Available globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,N,Y,Y,N,US_1987_SIC_1,US 1987 SIC 1,"The US 1987 Standard Industrial Classification (SIC) code system categorizes business establishments based upon the type of activity done by that business at that location. A business can have up to six SIC codes. The first-listed SIC code represents the primary operations of the business. Then, SIC codes are assigned in descending order according to the percentage of the revenue contributed by each function of the business. If countries collect other industry classifications (Primary Local Activity Code-position 859-866), local classifications are converted to the standard 1987 US SIC Code. The SIC code of a parent/ultimate may include the activities of its subsidiaries. Available globally. Contains '9999', when not available",Alpha-Numeric,"Majority population.Available globally.Contains '9999', when not available",,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,US_1987_SIC_2,SIC Code 2,The Standard Industrial Classification code for the second line of business operations as ranked by percent of sales/revenue. Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,US_1987_SIC_3,SIC Code 3,The Standard Industrial Classification code for the third line of business operations as ranked by percent of sales/revenue. Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,US_1987_SIC_4,SIC Code 4,The Standard Industrial Classification code for the fourth line of business operations as ranked by percent of sales/revenue.Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,Y,Y,N,N,N,Y,Y,N,US_1987_SIC_5,SIC Code 5,The Standard Industrial Classification code for the fifth line of business operations as ranked by percent of sales/revenue.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,Y,Y,N,N,N,Y,Y,N,US_1987_SIC_6,SIC Code 6,The Standard Industrial Classification code for the sixth line of business operations as ranked by percent of sales/revenue. Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,PRIMARY_LOCAL_ACTIVITY_CODE,Primary Local Activity Code,The local activity or industry classification code if different from the 1987 US SIC.  Available on records where the activity code provided is not the global standard 1987 SIC code.Blank-filled when not available.,Alpha-Numeric,Moderate population.Available on records where the activity code provided is not the global standard 1987 SIC code.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,LOCAL_ACTIVITY_TYPE_CODE,Local Activity Type Code,"A code value which describes the type of local activity code that is represented in the Primary Local Activity Code field.  For example, 60 = 1972 US SIC. Available on records where the activity code provided is not the global standard 1987 SIC code.",Alpha-Numeric,Moderate population.Available on records where the activity code provided is not the global standard 1987 SIC code.,All possible values found on:Activity Code Type Table.,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,Y,N,YEAR_STARTED,Year Started,The year when current ownership or management assumed control of the business or the year established if no control change has taken place.  This  is not provided for branch records.Available globally.,Numeric,Moderate population.Available globally.,,FIRMOGRAPHICS,NOMINAL,"{""linear"": { ""minValue"":1900,""stepSize"":10,""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",YEAR
Y,Y,Y,N,N,Y,N,Y,N,SALES_VOLUME_LOCAL_CURRENCY,Sales Volume (local currency),The total annual sales/revenue for this business in local currency.  Not available on branch locations.  Available globally.Zero-filled when not available.,Numeric,Moderate population.Available globally.Zero-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,NUMERIC
Y,Y,Y,N,N,Y,N,Y,N,SALES_VOLUME_RELIABILITY_CODE,Sales Volume Reliability Code,"A code value which describes the reliability of the annual sales/revenue figure.Available globally.""""0 - actual1 - low end of the range2 - estimated (all records) or not available when sales is greater than zero (all records) or modeled (US records)3 - modeled (non US records)blank - Not Available when Sales equal 0.""""",Alpha-Numeric,High population.Available globally.,0 - actual1 - low end of the range2 - estimated (all records) or not available when sales is greater than zero (all records) or modeled (US records)3 - modeled (non US records)blank - Not Available when Sales equal 0.,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,Y,Y,Y,N,Y,N,SALES_VOLUME_US_DOLLARS,Sales Volume (US Dollars),"The total annual sales/revenue for this business, expressed in US dollars as a signed, decimal field.  If the sales/revenue figure is collected in local currency, the local value is converted to US dollars. Note: Data is converted to US dollars based on the date of the financial figures/statement of the record.  If the sales/revenue figure is from Jun-2009, the conversion rate is as of Jun-2009.  Available globally. Zero-filled when not available",Numeric,Moderate population.Available globally.Zero-filled when not available.,,FIRMOGRAPHICS,RATIO,"{""unified"": {}}",CURRENCY
Y,Y,Y,N,N,Y,N,Y,N,CURRENCY_CODE,Currency Code,A code value which describes the type of currency in which the sales volume (local currency) is expressed. Available globally.,Numeric,Moderate population.Available globally.,All possible values found on:Currency Code Table.,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,Y,Y,Y,N,Y,N,EMPLOYEES_HERE,Employees at Location,The number of employees at this location. Available globally. Zero-filled when not available.,Numeric,Majority population.Available globally.Zero-filled when not available.,,FIRMOGRAPHICS,RATIO,"{""unified"": {}}",NUMERIC
Y,Y,Y,N,N,Y,N,Y,N,EMPLOYEES_HERE_RELIABILITY_CODE,Employees Here Reliability Code,"A code value which describes the reliability of the Employees Here figure.Available globally.""""0 - actual1 - low end of the range2 - estimated (all records) or not available when Employees Here is greater than zero (all records) or modeled (US records)3 - modeled (non US records)blank - Not Available when Employees Here equal 0.""""",Alpha-Numeric,High population.Available globally.,0 - actual1 - low end of the range2 - estimated (all records) or not available when Employees Here is greater than zero (all records) or modeled (US records)3 - modeled (non US records)blank - Not Available when Employees Here equal 0.,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,Y,Y,Y,N,Y,N,EMPLOYEES_TOTAL,Employees Global,The total number of employees in the business organization; Includes subsidiary and branch locations. Available globally. Zero-filled when not available.,Numeric,Majority population.Available globally.Zero-filled when not available.,,FIRMOGRAPHICS,RATIO,"{""unified"": {}}",NUMERIC
Y,Y,Y,N,N,Y,N,Y,N,EMPLOYEES_TOTAL_RELIABILITY_CODE,Employees Total Reliability Code,"A code value which describes the reliability of the Employees Total figure.Available globally.""""0 - actual1 - low end of the range2 - estimated (all records) or not available when Employees Total is greater than zero (all records) or modeled (US records)3 - modeled (non US records)blank - Not Available when Employees Total equal 0.""""",Alpha-Numeric,High population.Available globally.,0 - actual1 - low end of the range2 - estimated (all records) or not available when Employees Total is greater than zero (all records) or modeled (US records)3 - modeled (non US records)blank - Not Available when Employees Total equal 0.,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,PRINCIPALS_INCLUDED_INDICATOR,Principals Included Indicator,"Indicates whether principals are included in the Employees Total figure.Available globally.""""Y - Principals included.N - Principals not included or unknown""""",Alpha,High population.Available globally.,Y - Principals included.N - Principals not included or unknown,FIRMOGRAPHICS,NOMINAL,,BOOLEAN
Y,N,Y,N,N,Y,N,Y,N,IMPORT_EXPORT_AGENT_CODE,Import/Export/Agent Code,"A code value that identifies whether the business imports goods or services for re-manufacture or sale, exports products or services to a foreign country, and/or is an agent for goods. Available globally.Blank-filled when not available.""""A - Import/Export/AgentB - Imports & ExportsC - ImportsD - Imports & AgentE - Exports & AgentF - Agent - keeps no inventory and does not take title goodsG - None or Not AvailableH - ExportsBlank - Not available""""",Alpha,High population.Available globally.Blank-filled when not available.,A - Import/Export/AgentB - Imports & ExportsC - ImportsD - Imports & AgentE - Exports & AgentF - Agent - keeps no inventory and does not take title goodsG - None or Not AvailableH - ExportsBlank - Not available,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,Y,N,LEGAL_STATUS_CODE,Legal Status Code,A code value which describes the legal structure of the businessAvailable globally. Zero-filled when not available.,Alpha-Numeric,High population.Available globally.Zero-filled when not available.,All possible values found on:Legal Structure Table.,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,N,N,N,N,N,N,N,FILLER2,N.A.,N.A.,,,,,,,
Y,N,Y,N,N,Y,N,N,N,STATUS_CODE,Status Code,"A code value which describes the organizational status of the business. Available globally.""""0  =   Single Location - no other entities report to the business 1   =  Headquarter/Parent - branches and/or subsidiaries report to the business 2   =  Branch - secondary location to a headquarter location""""",Numeric,High population.Available globally.,0  =   Single Location - no other entities report to the business1   =  Headquarter/Parent - branches and/or subsidiaries report to the business2   =  Branch - secondary location to a headquarter location,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,Y,N,SUBSIDIARY_INDICATOR,Subsidiary Indicator,"Indicates whether the subject business is more than 50% owned by another organization. Available globally. """"0 - Not a subsidiary  3 - Is a subsidiary""""",Numeric,High population.Available globally.,0 - Not a subsidiary3 - Is a subsidiary,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,N,N,N,N,N,N,N,FILLER3,N.A.,N.A.,,,,,,,
Y,Y,Y,N,N,Y,N,N,N,PREVIOUS_DUNS_NUMBER,Previous D-U-N-S? Number,The D-U-N-S number that was previously assigned to this business.May contain lead zeros which will be lost if field is treated as numeric.  Use only the 9 right-most digits.Available globally.Zero-filled when not available.,Numeric,Low population.Available globally.Zero-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,FULL_REPORT_DATE,Full Report Date,The date when a complete review of all Business Information Report data was updated about the business.  The format of the field is YYYYMMDD.  Data collection methods have changed and updates are more frequent to sections of the business report.  Report Date does not necessarily reflect the age of the business data of the report.Available globally.,Numeric,Majority population.Available globally.,,FIRMOGRAPHICS,NOMINAL,,DATE
N,N,N,N,N,N,N,N,N,FILLER4,N.A.,N.A.,,,,,,,
Y,Y,Y,N,N,Y,N,Y,N,HEADQUARTER_PARENT_DUNS_NUMBER,Headquarter/Parent D-U-N-S Number,The D-U-N-S number of the Parent/Headquarter organization. May contain lead zeros which will be lost if field is treated as numeric.  Use only the 9 right-most digits..Available globally.,Alpha-Numeric,Low population.Available globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,HEADQUARTER_PARENT_BUSINESS_NAME,Headquarter/Parent Business Name,The primary name of the Parent/Headquarter company.Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,HEADQUARTER_PARENT_STREET_ADDRESS,Headquarter/Parent Street Address,The physical street address of the Parent/Headquarter company. Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,HEADQUARTER_PARENT_CITY_NAME,Headquarter/Parent City Name,The city where the Parent/Headquarter is located. Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,HEADQUARTER_PARENT_STATE_PROVINCE,Headquarter/Parent State/Province Name,The state/province where the Parent/Headquarter is located.  Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,HEADQUARTER_PARENT_COUNTRY_NAME,Headquarter/Parent Country Name,The name of country where the Parent/Headquarter is located.  In English.Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,HEADQUARTER_PARENT_DnB_CITY_CODE,Headquarter/Parent City Code,Geographical code identifying the city where the Parent/Headquarter is located.  Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,HEADQUARTER_PARENT_DnB_COUNTY_CODE,Headquarter/Parent County Code,Geographical code identifying the county where the Parent/Headquarter is located.Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,HEADQUARTER_PARENT_STATE_PROV_ABR,Headquarter/Parent State/Province Abbreviation,The abbreviated name of the state/province where Parent/Headquarter is located.  Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,HEADQUARTER_PARENT_DnB_COUNTRY_CODE,Headquarter/Parent Country Code,Geographical code identifying the country where the Parent/Headquarter is located. Available globally.,Numeric,Low population.Available globally.,All possible values found on:Country Code Table.,FIRMOGRAPHICS,NOMINAL,,ALPHA
