Expected Top Features,num/cat,Pos/Neg,criteria 1 (population perc and lift),1_PopulationPercent,1_Lift,criteria 2 (Trend metric),criteria 3 (bias),3_Lift,Flag,Comment
BusinessTechnologiesSsl,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
BusinessTechnologiesWebMaster,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
BusinessTechnologiesWebServer,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
BusinessTechnologiesWidgets,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_AcademicEduMgmtSoftware,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ApplicationDevelopmentMgmt,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_AssetPerformanceManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_AutomatedProcessWorkflowSystems,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_BPM,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_BusinessIntelligence,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CaseManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ChangeManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CloudInfrastructureComputing,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CloudService_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CloudService_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Collaboration,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Commerce,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CommTech_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CommTech_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CommunicationsTechnology,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Construction,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ConsumerElectronics,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ContactCenterManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CRM,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CRM_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CRM_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_CustomerOrderManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_DataArchivingBackUpRecovery,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_DatabaseManagementSoftware,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_DataCenterSolutions_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_DataCenterSolutions_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_DataManagementStorageHardware,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_DesignPublishing,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_DocumentManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_DR,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_EBS,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ECM,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_EDA,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_EDI,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Email,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_EnterpriseApplications_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_EnterpriseApplications_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_EnterpriseContent_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_EnterpriseContent_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_EnterpriseLearning,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_EPM,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ERP,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
